"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMCO2",28.988642232667,-0.443404070659189,1.04551971473854,-0.424099196226132,0.671493471671587,0.881368222304259
"PDGFRL",29.9030246494251,0.547776646594549,0.55059759293426,0.994876573425109,0.319796297926293,0.662810029714963
"BUB1",26.7251094855578,-0.621334031857947,1.24985464377477,-0.497125033661044,0.619100882270736,0.854017037002955
"COL8A2",30.9320020289042,1.30334892951688,0.483130581774375,2.69771564600636,0.00698170489899636,0.126934551882298
"AL031775.2",29.353903333478,-0.984424223222945,0.558023441432442,-1.76412700637797,0.0777105985515283,0.369828818452853
"SLC1A7",29.7985167552535,0.994011474977929,0.675187522991104,1.47220059780492,0.14096671604262,0.482091710741039
"HSD11B1L",29.7135844764221,-0.193615186147185,0.55765526159111,-0.347195121220159,0.72844473584845,0.904927491809256
"ANLN",27.0283218834237,-0.581728319565488,1.85244203966134,-0.314033209736396,0.753495815960699,0.912055827194529
"SRSF12",27.8180679558187,1.10255637924278,0.628299440605725,1.75482629457674,0.0792890244667503,0.372158394118711
"RNF175",29.0003928158976,-0.609508615973066,0.624097614068254,-0.976623852156575,0.328755406145703,0.672759768561794
"SNORA64",27.4020736117586,-0.296380266196207,0.5629618856951,-0.526465953961093,0.598564501231366,0.843413401329389
"TMEM107",29.2801451989266,0.10697300894178,0.442347853049984,0.241830062481829,0.808911843663808,0.934773153530453
"AC018690.1",27.1269614465555,-0.868886682761871,0.626003640952186,-1.38798982293497,0.165140144116176,0.513592242531889
"H3C15",27.4189622928617,0.328022084833872,0.958747422958426,0.342136079825579,0.732248486285677,0.906337037025402
"AL355377.4",27.0298481830081,-1.77567478851005,0.89220063889562,-1.99021914029114,0.0465668007500475,0.296095233449577
"AC104794.4",29.05196568058,0.491450870269915,1.09192393880992,0.450077933821601,0.652654247073312,0.870971872825283
"AL096701.3",28.6032184892915,-0.965029699615833,0.536573640392133,-1.79850374109056,0.0720972163340414,0.357286300753193
"B4GALT1-AS1",29.1336463863035,-0.726143987122758,0.480140565121241,-1.51235708846929,0.130443045200225,0.465968518471509
"H3C14",27.4008316000885,0.340244553415889,0.95716255217019,0.355472069654676,0.722235965582816,0.902835571582568
"SIGLEC14",26.4015408381163,1.92702641696755,1.31657762608781,1.46366334865775,0.143285954445938,0.485245466691587
"STPG3",29.263583145632,-1.03253254632535,0.925219755499599,-1.11598627265347,0.264428010617939,0.614602508437512
"AC009126.1",29.4132602470325,-0.452043710928252,0.480314503177284,-0.941141081391421,0.346632565355134,0.686118979192187
"SIGLEC5",27.8235934543294,0.99850219731245,0.860335642341619,1.16059610711324,0.245806189304349,0.599047038164318
"SLC2A12",28.2802655106713,-2.47832599793641,0.995381092929694,-2.48982627411777,0.0127805549824327,0.16265451348635
"RHBDL1",29.4686718862922,-0.607447466218712,0.653744444822264,-0.929181840136112,0.352794856990403,0.691244077534845
"XYLT1",29.6328599291106,0.847284462194481,0.542406825997003,1.56208296353402,0.118268445744726,0.445396776023508
"TECRP1",30.1468964687015,-0.245837051022338,0.438230132961582,-0.560977058699634,0.574813176584529,0.830239445368241
"TRDC",27.5286452032834,-1.27670508067422,0.910830395019744,-1.40169353993347,0.161006780552256,0.50732673871149
"IGKV1-9",29.263017803579,1.29789956490448,0.773449354448889,1.67806664707773,0.0933340889670081,0.401980349072064
"AC116667.1",28.4307937453547,-0.281304321095561,0.500518031956628,-0.562026346974723,0.574098068345231,0.829838997351456
"AC008764.2",29.2352838342843,-0.220241574848592,0.457910302516147,-0.480970997242033,0.630537111806839,0.859767252051991
"AC091057.1",28.4929168512713,-0.304504131451744,0.563541239240367,-0.540340458246152,0.588962261753565,0.838547560305583
"PROB1",30.656225690357,0.450338587966057,0.480360907579868,0.937500493607883,0.348501169973729,0.687598994769469
"HNRNPA1P16",28.6132937233296,-0.658318901009813,0.494411226863742,-1.33152093892731,0.183017659902977,0.532973000157631
"SMIM5",28.8805973149689,-1.03747394264695,0.566923660446872,-1.83000642772463,0.0672489776910167,0.345175166916112
"EBLN2",28.4897856243477,-1.12811341747704,0.643777881983674,-1.75233329545431,0.0797165140269429,0.372916383778969
